OBJECT TYPE	JOB NAME	CLASSIFICATION FULL	STATUS	DIFFERENCES	SAMSUNG JOB NAME	SAMSUNG STATUS	DIFFERENCES	COMPARE OBJECTS	COMPARE STATUS	RESPONSIBLE	START DATA	END DATA	OBS
JOB	ECOM_ODS_VTEX_SSG_BR_SHOP_PAYMENT_TRANSACTION	Phase 01	3. To Do Migration	90	ECOM_ODS_VTEX_SSG_BR_SHOP_PAYMENT_TRANSACTION	3. To Do Migration	90	VERDADEIRO	VERDADEIRO	Bruno(imexp)	09/fev		
JOB	LAO_D2C_FT_D2C_AR_ONE_VIEW_TABLE	Phase 01	5. Done	253	LAO_D2C_FT_D2C_AR_ONE_VIEW_TABLE	5. Done	253	VERDADEIRO	VERDADEIRO	Bruno(imexp)	10/fev	13/fev	
JOB	LAO_D2C_FT_D2C_CELLO_NERP_RETURN_PENDING	Phase 01	5. Done	257	LAO_D2C_FT_D2C_CELLO_NERP_RETURN_PENDING	3. To DO Activation	257	VERDADEIRO	FALSO	Bruno(imexp)	10/fev	13/fev	
JOB	LAO_D2C_FT_D2C_NERP_INVENTORY	Phase 01	5. Done	261	LAO_D2C_FT_D2C_NERP_INVENTORY	3. To Do Migration	261	VERDADEIRO	FALSO	Bruno(imexp)	10/fev	24/fev	
JOB	LAO_D2C_FT_D2C_NERP_ORDER_PENDING_OVERVIEW	Phase 01	3. To DO Activation	264	LAO_D2C_FT_D2C_NERP_ORDER_PENDING_OVERVIEW	3. To DO Activation	264	VERDADEIRO	VERDADEIRO	Bruno(imexp)	26/fev		Equalizar tabelas
JOB	LAO_D2C_FT_D2C_ONE_VIEW_TABLE	Phase 01	3. To Do Migration	266	LAO_D2C_FT_D2C_ONE_VIEW_TABLE	3. To DO Activation	266	VERDADEIRO	FALSO	Bruno(imexp)	18/fev		
JOB	LAO_D2C_FT_D2C_WOS	Phase 01	3. To Do Migration	268	LAO_D2C_FT_D2C_WOS	3. To Do Migration	268	VERDADEIRO	VERDADEIRO	Bruno(imexp)	10/fev		
JOB	LAO_D2C_FT_WAREHOUSE_OPERATION	Phase 01	3. To Do Migration	272	LAO_D2C_FT_WAREHOUSE_OPERATION	3. To Do Migration	272	VERDADEIRO	VERDADEIRO	Bruno(imexp)	10/fev		
JOB	LAO_INPUT_MAP_CORES_SALES_DEDUCTION	Phase 02	5. Done	304	LAO_INPUT_MAP_CORES_SALES_DEDUCTION	3. To DO Activation	304	VERDADEIRO	FALSO	Bruno(imexp)	23/fev	24/fev	
JOB	LAO_INPUT_MAPPING_BIZ_AREA_SALES_DEDUCTION	Phase 02	1. To Do Migration	305	LAO_INPUT_MAPPING_BIZ_AREA_SALES_DEDUCTION	5. Done	305	VERDADEIRO	FALSO	Bruno(imexp)	19/fev	20/fev	
